Model,Location,Years_old,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti,Mumbai,10,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,175000.0
Hyundai,Pune,5,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1250000.0
Honda,Chennai,9,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,450000.0
Maruti,Chennai,8,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,600000.0
Audi,Coimbatore,7,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,1773999.9999999998
Hyundai,Hyderabad,8,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,235000.0
Nissan,Jaipur,7,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,350000.0
Toyota,Mumbai,4,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1750000.0
Volkswagen,Pune,7,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,520000.0
Tata,Chennai,8,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,195000.0
Maruti,Kochi,2,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,994999.9999999999
Honda,Kolkata,8,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,449000.0
Maruti,Jaipur,5,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,560000.0
Land,Delhi,6,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,2700000.0
Mitsubishi,Delhi,6,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1500000.0
Honda,Kochi,4,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,540000.0
Maruti,Jaipur,3,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,599000.0
Renault,Kochi,6,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,634000.0
Mercedes-Benz,Bangalore,6,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,2800000.0
BMW,Kochi,6,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1855000.0
Maruti,Bangalore,5,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,825000.0
Audi,Mumbai,5,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,2350000.0
Hyundai,Kolkata,10,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,187000.0
Volkswagen,Kolkata,10,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,285000.0
Honda,Mumbai,8,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,425000.0
Nissan,Hyderabad,8,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,425000.0
Maruti,Hyderabad,7,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,275000.0
Honda,Kochi,2,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,990000.0
Renault,Bangalore,7,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,775000.0
Toyota,Delhi,8,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,675000.0
Mahindra,Bangalore,7,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1250000.0
Audi,Kolkata,10,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1150000.0
Volkswagen,Coimbatore,6,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,698000.0
Maruti,Jaipur,11,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,185000.0
Maruti,Kochi,2,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,863000.0000000001
Mahindra,Delhi,3,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,484999.99999999994
Mercedes-Benz,Pune,7,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,2800000.0
Volkswagen,Chennai,7,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,500000.0
Maruti,Delhi,12,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,125000.0
Tata,Kochi,6,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,153000.0
Mahindra,Coimbatore,3,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,558000.0
Hyundai,Kochi,6,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,474000.0
Hyundai,Bangalore,6,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,885000.0
Toyota,Mumbai,4,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1011000.0
Hyundai,Ahmedabad,12,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,425000.0
Toyota,Bangalore,8,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1095000.0
Hyundai,Jaipur,6,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,385000.0
Mahindra,Jaipur,8,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,550000.0
Audi,Kochi,5,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2143000.0
Maruti,Delhi,6,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,425000.0
Maruti,Kolkata,6,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,330000.0
Maruti,Delhi,7,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,385000.0
Hyundai,Chennai,5,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,360000.0
Volkswagen,Kolkata,5,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,399000.0
Renault,Kochi,3,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,330000.0
Hyundai,Kolkata,10,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,206999.99999999997
Nissan,Hyderabad,10,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,775000.0
Maruti,Hyderabad,10,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,225000.0
Toyota,Mumbai,3,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,1650000.0
Ford,Bangalore,10,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,275000.0
Mercedes-Benz,Delhi,5,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,2670000.0
Mercedes-Benz,Pune,9,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1000000.0
Tata,Chennai,4,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,250000.0
Audi,Jaipur,8,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1350000.0
Honda,Mumbai,13,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,185000.0
Maruti,Pune,4,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,815000.0
Hyundai,Mumbai,2,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1050000.0
Mahindra,Mumbai,5,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,965000.0
Hyundai,Kochi,8,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,348000.0
Nissan,Kochi,5,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,692000.0
Honda,Coimbatore,4,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,646000.0
Audi,Delhi,6,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,2950000.0
Toyota,Chennai,14,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,450000.0
Toyota,Hyderabad,8,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1175000.0
Maruti,Jaipur,8,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,375000.0
Tata,Pune,3,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,450000.0
Honda,Kochi,4,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,482000.0
Ford,Hyderabad,8,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,280000.0
Maruti,Jaipur,7,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,311000.0
Honda,Delhi,11,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,325000.0
BMW,Delhi,9,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,1390000.0
Hyundai,Pune,11,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,225000.0
Hyundai,Bangalore,4,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,575000.0
Honda,Mumbai,4,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,500000.0
Toyota,Delhi,6,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1650000.0
Audi,Coimbatore,2,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3958000.0
Ford,Delhi,7,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,550000.0
Mahindra,Delhi,6,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,810000.0
Honda,Kolkata,5,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0
Volkswagen,Kolkata,7,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,279000.0
Hyundai,Ahmedabad,10,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,345000.0
